Date,12/31/03,12/31/03
Time,16:00:00,16:00:00
Y_Unit_Label,Acceleration (g),Acceleration (g)
X_Dimension,Time (s),Time (s)
X0,0.00E+00,0.00E+00
Delta_X,0.000488,0.000488
***End_of_Header***,,
X_Value,tapping near accel - sink cntr - Acceleration - platform,tapping near accel - sink cntr - Acceleration - table
0.092773,-0.018557,0.004128
0.093262,-0.01441,0.003066
0.09375,-0.016945,0.004213
0.094238,-0.001431,0.004928
0.094727,-0.015761,0.004155
0.095215,-0.013512,0.004394
0.095703,-0.02571,0.002418
0.096191,-0.024611,0.003364
0.09668,-0.024935,0.002046
0.097168,-0.02493,0.00227
0.097656,-0.029979,0.002778
0.098145,-0.019742,0.002752
0.098633,-0.011597,0.005137
0.099121,-0.002087,0.005359
0.099609,0.009642,0.007467
0.100098,0.023814,0.008616
0.100586,0.029042,0.008749
0.101074,0.023649,0.009496
0.101562,0.030035,0.008187
0.102051,0.028992,0.007647
0.102539,0.026574,0.006622
0.103027,0.018726,0.005892
0.103516,0.03728,0.005294
0.104004,0.034659,0.004986
0.104492,0.046332,0.005136
0.10498,0.04772,0.004829
0.105469,0.05605,0.004376
0.105957,0.053829,0.003126
0.106445,0.057306,0.001852
0.106934,0.055787,0.00068
0.107422,0.049653,-0.000245
0.10791,0.050888,-0.00111
0.108398,0.04712,-0.002177
0.108887,0.044289,-0.002698
0.109375,0.045873,-0.003133
0.109863,0.04249,-0.002944
0.110352,0.044684,-0.002419
0.11084,0.037159,-0.001696
0.111328,0.028743,-0.001314
0.111816,0.017308,-0.000746
0.112305,0.008633,-0.000877
0.112793,0.00077,-0.001074
0.113281,-0.012543,-0.001867
0.11377,-0.016659,-0.002513
0.114258,-0.026544,-0.002302
0.114746,-0.032419,-0.002846
0.115234,-0.042939,-0.002936
0.115723,-0.047612,-0.003041
0.116211,-0.054252,-0.003022
0.116699,-0.059134,-0.002923
0.117187,-0.058628,-0.002934
0.117676,-0.058952,-0.002726
0.118164,-0.058707,-0.002757
0.118652,-0.059843,-0.003234
0.119141,-0.06131,-0.003642
0.119629,-0.064026,-0.003604
0.120117,-0.065692,-0.003285
0.120605,-0.080977,-0.002547
0.121094,-0.092605,-0.001845
0.121582,-0.07523,-0.001324
0.12207,-0.067614,0.000772
0.122559,-0.0684,0.002245
0.123047,-0.060188,0.004311
0.123535,-0.054374,0.005529
0.124023,-0.048698,0.006314
0.124512,-0.046295,0.006389
0.125,-0.043529,0.005571
0.125488,-0.035069,0.004673
0.125977,-0.022742,0.003429
0.126465,-0.01372,0.002347
0.126953,-0.005117,0.001309
0.127441,0.010156,0.000795
0.12793,0.022656,0.000267
0.128418,0.028659,-3.37E-05
0.128906,0.034923,0.000177
0.129395,0.044875,0.00039
0.129883,0.054648,0.001109
0.130371,0.05898,0.001893
0.130859,0.063679,0.002839
0.131348,0.068277,0.003168
0.131836,0.074553,0.003367
0.132324,0.077448,0.003124
0.132812,0.077987,0.002569
0.133301,0.084261,0.001782
0.133789,0.085879,0.00083
0.134277,0.084661,-0.000146
0.134766,0.085454,-0.001121
0.135254,0.088276,-0.001954
0.135742,0.088214,-0.002597
0.13623,0.081715,-0.003165
0.136719,0.070497,-0.003608
0.137207,0.059535,-0.004365
0.137695,0.053514,-0.004695
0.138184,0.047855,-0.005066
0.138672,0.039619,-0.00539
0.13916,0.033573,-0.004984
0.139648,0.034426,-0.00474
0.140137,0.027526,-0.004176
0.140625,0.015781,-0.00384
0.141113,0.004092,-0.003726
0.141602,-0.008284,-0.003662
0.14209,-0.017815,-0.003721
0.142578,-0.032899,-0.003888
0.143066,-0.042897,-0.003803
0.143555,-0.051042,-0.003848
0.144043,-0.059439,-0.003725
0.144531,-0.066399,-0.003626
0.14502,-0.073288,-0.003218
0.145508,-0.076196,-0.0029
0.145996,-0.078266,-0.002651
0.146484,-0.08013,-0.002157
0.146973,-0.081843,-0.001701
0.147461,-0.082676,-0.001234
0.147949,-0.084986,-0.000695
0.148437,-0.083438,-0.000237
0.148926,-0.081846,0.000238
0.149414,-0.078004,0.000616
0.149902,-0.077212,0.000945
0.150391,-0.072181,0.001214
0.150879,-0.069157,0.001555
0.151367,-0.064159,0.002111
0.151855,-0.058338,0.002484
0.152344,-0.056994,0.003014
0.152832,-0.049319,0.00336
0.15332,-0.038951,0.004088
0.153809,-0.028352,0.004752
0.154297,-0.020238,0.005372
0.154785,-0.008256,0.00552
0.155273,0.000203,0.005547
0.155762,0.01136,0.00527
0.15625,0.020763,0.004702
0.156738,0.027095,0.004116
0.157227,0.034951,0.003651
0.157715,0.042254,0.003089
0.158203,0.045098,0.002622
0.158691,0.049171,0.002173
0.15918,0.057163,0.001583
0.159668,0.062563,0.001179
0.160156,0.068492,0.000895
0.160645,0.073819,0.000402
0.161133,0.076729,0.000292
0.161621,0.076679,0.00022
0.162109,0.076016,3.45E-05
0.162598,0.07357,5.95E-05
0.163086,0.070769,0.000212
0.163574,0.068261,0.000227
0.164062,0.064683,0.000287
0.164551,0.060734,0.000117
0.165039,0.060506,-7.25E-05
0.165527,0.057092,-0.000383
0.166016,0.051234,-0.00059
0.166504,0.047379,-0.001096
0.166992,0.040895,-0.001352
0.16748,0.033923,-0.001363
0.167969,0.02451,-0.001649
0.168457,0.016321,-0.00188
0.168945,0.008829,-0.001465
0.169434,0.001244,-0.000899
0.169922,-0.005521,-0.000966
0.17041,-0.013099,-0.001093
0.170898,-0.017628,-0.001237
0.171387,-0.02173,-0.001111
0.171875,-0.028806,-0.000575
0.172363,-0.034126,-0.000386
0.172852,-0.038097,5.01E-05
0.17334,-0.045734,0.000315
0.173828,-0.0515,0.001034
0.174316,-0.053095,0.001556
0.174805,-0.054158,0.002443
0.175293,-0.05466,0.00315
0.175781,-0.05253,0.003615
0.17627,-0.053924,0.003949
0.176758,-0.051299,0.00385
0.177246,-0.050183,0.003962
0.177734,-0.049896,0.004137
0.178223,-0.047765,0.004284
0.178711,-0.045601,0.004847
0.179199,-0.045516,0.005182
0.179687,-0.044063,0.005258
0.180176,-0.039721,0.005829
0.180664,-0.034928,0.005819
0.181152,-0.030131,0.005864
0.181641,-0.024831,0.005897
0.182129,-0.019266,0.005527
0.182617,-0.013723,0.005436
0.183105,-0.008098,0.00479
0.183594,-0.003188,0.00421
0.184082,0.001302,0.003578
0.18457,0.007622,0.002789
0.185059,0.012759,0.0021
0.185547,0.019796,0.001409
0.186035,0.026181,0.000604
0.186523,0.030081,-0.000123
0.187012,0.033777,-0.000541
0.1875,0.036208,-0.000963
0.187988,0.037911,-0.001476
0.188477,0.039688,-0.001581
0.188965,0.041286,-0.001649
0.189453,0.040715,-0.001657
0.189941,0.039141,-0.001939
0.19043,0.038724,-0.0023
0.190918,0.039562,-0.002608
0.191406,0.039021,-0.003219
0.191895,0.038874,-0.003519
0.192383,0.039308,-0.004089
0.192871,0.037985,-0.004422
0.193359,0.035824,-0.004539
0.193848,0.033079,-0.004792
0.194336,0.029286,-0.004732
0.194824,0.027179,-0.004723
0.195312,0.023198,-0.004312
0.195801,0.019204,-0.004264
