LabVIEW Measurement	
Writer_Version	2
Reader_Version	2
Separator	Tab
Multi_Headings	Yes
X_Columns	No
Time_Pref	Absolute
Operator	brodiej
Date	2014/12/19
Time	14:37:58.082653
***End_of_Header***	
	
Channels	2		
Samples	4096	4096	
Date	2014/12/19	2014/12/19	
Time	14:37:24	14:37:24	
Y_Unit_Label	Acceleration (g)	Acceleration (g)	
X_Dimension	Time (s)	Time (s)	
X0	2:37:24.497141381249 PM 12/19/2014	2:37:24.497141381249 PM 12/19/2014	
Delta_X	0.000488	0.000488	
***End_of_Header***			
X_Value	12/19/2014 2:37:26 PM - Acceleration - Ref	12/19/2014 2:37:26 PM - Acceleration - Meas	Comment
0.000000	0.184276	-0.122826
0.000488	0.169006	-0.295076
0.000977	0.135407	-0.483970
0.001465	0.123730	-0.637927
0.001953	0.120910	-0.734024
0.002441	0.075883	-0.829826
0.002930	-0.001591	-0.907365
0.003418	-0.031020	-0.944857
0.003906	-0.054585	-0.999249
0.004395	-0.075781	-1.012545
0.004883	-0.074529	-1.019040
0.005371	-0.063158	-1.007067
0.005859	-0.065171	-0.959339
0.006348	-0.065336	-0.921234
0.006836	-0.023657	-0.810509
0.007324	0.000639	-0.685317
0.007812	-0.015587	-0.565871
0.008301	-0.036126	-0.443982
0.008789	-0.040743	-0.328188
0.009277	-0.034884	-0.139993
0.009766	-0.051915	-0.095234
0.010254	-0.083358	0.133121
0.010742	-0.097189	0.183733
0.011230	-0.127496	0.328443
0.011719	-0.135441	0.402213
0.012207	-0.145216	0.415487
0.012695	-0.138721	0.475386
0.013184	-0.158773	0.494740
0.013672	-0.219200	0.486788
0.014160	-0.219696	0.468097
0.014648	-0.211336	0.439500
0.015137	-0.205925	0.400467
0.015625	-0.200260	0.315421
0.016113	-0.170986	0.270962
0.016602	-0.158719	0.253074
0.017090	-0.130766	0.094431
0.017578	-0.156909	0.165806
0.018066	-0.069929	0.115956
0.018555	-0.023356	-0.018566
0.019043	-0.070201	0.008924
0.019531	0.024802	-0.039461
0.020020	0.081132	-0.057601
0.020508	0.038866	-0.072313
0.020996	0.061678	-0.030715
0.021484	0.090726	-0.068584
0.021973	0.084650	-0.056998
0.022461	0.071670	-0.031892
0.022949	0.105461	0.002154
0.023437	0.104348	-0.007023
0.023926	0.118394	0.053564
0.024414	0.093518	0.014673
0.024902	0.096624	0.005544
0.025391	0.137710	0.082242
0.025879	0.079650	0.038919
0.026367	0.074936	0.087770
0.026855	0.059857	0.078123
0.027344	0.054820	0.091498
0.027832	0.083279	0.097728
0.028320	0.088044	0.115238
0.028809	0.101113	0.102871
0.029297	0.092048	0.086200
0.029785	0.106063	0.121479
0.030273	0.073864	0.110439
0.030762	0.075392	0.138438
0.031250	0.063859	0.157977
0.031738	0.031238	0.162302
0.032227	0.004589	0.090812
0.032715	-0.009982	0.405985
0.033203	0.089049	0.261954
0.033691	-0.002997	0.170742
0.034180	-0.056813	0.170381
0.034668	0.118248	0.134439
0.035156	0.033589	0.030026
0.035645	-0.084914	0.042755
0.036133	0.031444	0.022061
0.036621	0.004087	-0.022546
0.037109	-0.092092	-0.106361
0.037598	-0.086579	-0.129546
0.038086	-0.033705	-0.034311
0.038574	-0.082556	-0.062492
0.039062	-0.046803	-0.136589
0.039551	-0.094837	-0.114079
0.040039	-0.083726	-0.128571
0.040527	-0.024597	-0.126289
0.041016	-0.001630	-0.097422
0.041504	-0.054535	-0.176126
0.041992	0.024149	-0.151160
0.042480	0.037248	-0.120027
0.042969	-0.032776	-0.191393
0.043457	0.066814	-0.141250
0.043945	0.103716	-0.142876
0.044434	0.067570	-0.114536
0.044922	0.091444	-0.137679
0.045410	0.041758	-0.131308
0.045898	0.082885	-0.077379
0.046387	0.115214	-0.060894
0.046875	-0.009017	-0.074801
0.047363	0.084850	-0.031371
0.047852	0.066406	0.005671
0.048340	-0.013050	0.026605
0.048828	0.034144	0.003320
0.049316	-0.013231	0.050572
0.049805	0.004375	0.149223
0.050293	0.016783	0.065919
0.050781	-0.029676	0.134420
0.051270	-0.003238	0.125770
0.051758	0.004087	0.143406
0.052246	-0.040091	0.129099
0.052734	-0.040889	0.081691
0.053223	-0.021855	0.139290
0.053711	-0.016110	0.128394
0.054199	-0.065299	0.138805
0.054687	-0.055501	0.135427
0.055176	-0.015143	0.169974
0.055664	-0.039912	0.186288
0.056152	-0.051726	0.197093
0.056641	-0.080872	0.208707
0.057129	-0.058758	0.129640
0.057617	0.003471	0.140521
0.058105	-0.039159	0.130628
0.058594	-0.038274	0.061888
0.059082	-0.000587	0.013568
0.059570	-0.019874	0.021641
0.060059	-0.002704	0.019843
0.060547	-0.043017	-0.046035
0.061035	-0.008509	-0.049228
0.061523	0.026170	-0.082285
0.062012	-0.025150	-0.139154
0.062500	0.028603	-0.147279
0.062988	0.030765	-0.115656
0.063477	-0.014459	-0.111823
0.063965	0.049328	-0.140349
0.064453	0.021798	-0.111607
0.064941	0.008135	-0.116973
0.065430	0.041295	-0.147289
0.065918	0.031946	-0.098348
0.066406	0.049727	-0.131401
0.066895	0.062820	-0.135393
0.067383	0.032331	-0.088999
0.067871	0.038763	-0.068516
0.068359	0.013150	-0.096987
0.068848	0.010585	-0.064159
0.069336	0.027594	-0.047627
0.069824	0.003711	-0.025254
0.070312	0.020975	-0.015704
0.070801	0.013217	-0.022728
0.071289	0.008787	0.008247
0.071777	0.013852	0.021659
0.072266	-0.013231	0.033761
0.072754	-0.009935	0.028067
0.073242	-0.014548	0.066611
0.073730	-0.025510	0.074882
0.074219	-0.022610	0.057435
